x	xend	y	yend	showSelected1	PANEL
-4.33972583017274	-3.56663440106019	2	2	4.2	1
-3.56663440106019	-3.30115430325331	2	2	4.2	1
-3.30115430325331	-3.25818648236058	2	2	4.2	1
-3.25818648236058	-3.0009183343543	2	2	4.2	1
-3.0009183343543	-2.8815686260577	1	1	4.2	1
-2.8815686260577	-2.86800744537142	1	1	4.2	1
-2.86800744537142	-2.84214141600921	1	1	4.2	1
-2.84214141600921	-2.83163579249532	1	1	4.2	1
-2.83163579249532	-2.70750117202076	1	1	4.2	1
-2.70750117202076	-2.26861906020816	1	1	4.2	1
-2.26861906020816	-1.36503598853577	1	1	4.2	1
-1.36503598853577	1.13643272732406	0	0	4.2	1
1.13643272732406	1.3880727789899	1	1	4.2	1
1.3880727789899	1.92930047961761	1	1	4.2	1
1.92930047961761	3.75790907692382	2	2	4.2	1
-4.33972583017274	-2.18653625590691	1	1	11.2	1
-2.18653625590691	-2.1241285982013	1	1	11.2	1
-2.1241285982013	-2.07808513430027	1	1	11.2	1
-2.07808513430027	-1.51896525388662	1	1	11.2	1
-1.51896525388662	-1.39164009689374	1	1	11.2	1
-1.39164009689374	-1.20090484481122	1	1	11.2	1
-1.20090484481122	-1.14257613408393	1	1	11.2	1
-1.14257613408393	-1.10944438930312	1	1	11.2	1
-1.10944438930312	-0.862198476006618	1	1	11.2	1
-0.862198476006618	-0.531082928688185	1	1	11.2	1
-0.531082928688185	-0.456570392651191	1	1	11.2	1
-0.456570392651191	0.0418331606939675	1	1	11.2	1
0.0418331606939675	0.261115261801065	0	0	11.2	1
0.261115261801065	3.75790907692382	0	0	11.2	1
-4.33972583017274	-3.20384107775527	1	1	4.3	1
-3.20384107775527	-3.06840998840936	1	1	4.3	1
-3.06840998840936	-3.04474014633749	1	1	4.3	1
-3.04474014633749	-2.78812513377508	1	1	4.3	1
-2.78812513377508	-2.7639401175084	1	1	4.3	1
-2.7639401175084	-2.70130248564482	1	1	4.3	1
-2.70130248564482	-2.6030487008235	1	1	4.3	1
-2.6030487008235	-2.52551293935828	1	1	4.3	1
-2.52551293935828	-2.45142745600641	1	1	4.3	1
-2.45142745600641	-2.44350391064387	0	0	4.3	1
-2.44350391064387	-2.02996478441467	0	0	4.3	1
-2.02996478441467	2.27284346410842	0	0	4.3	1
2.27284346410842	3.75790907692382	1	1	4.3	1
-4.33972583017274	-3.9716515162138	1	1	4.5	1
-3.9716515162138	-3.92471494915562	1	1	4.5	1
-3.92471494915562	-3.91338661357551	1	1	4.5	1
-3.91338661357551	-3.78301272895602	1	1	4.5	1
-3.78301272895602	-3.75543323162945	1	1	4.5	1
-3.75543323162945	-3.57944318229312	1	1	4.5	1
-3.57944318229312	-3.48987546097958	1	1	4.5	1
-3.48987546097958	-3.26212279428895	1	1	4.5	1
-3.26212279428895	-3.221094695346	1	1	4.5	1
-3.221094695346	-2.66669538877928	0	0	4.5	1
-2.66669538877928	-2.39787802507726	0	0	4.5	1
-2.39787802507726	-2.29088140629073	0	0	4.5	1
-2.29088140629073	0.452597824334047	0	0	4.5	1
0.452597824334047	3.75790907692382	0	0	4.5	1
-4.33972583017274	-3.07950695379504	1	1	1.7	1
-3.07950695379504	-2.96287173217482	1	1	1.7	1
-2.96287173217482	-2.85688081395927	1	1	1.7	1
-2.85688081395927	-2.84212446145553	1	1	1.7	1
-2.84212446145553	-2.72127814009186	1	1	1.7	1
-2.72127814009186	-2.38546944483822	1	1	1.7	1
-2.38546944483822	-2.31365350067406	1	1	1.7	1
-2.31365350067406	-2.18572992321851	1	1	1.7	1
-2.18572992321851	-2.17238862804802	1	1	1.7	1
-2.17238862804802	-1.77542959816022	1	1	1.7	1
-1.77542959816022	-1.76719091473653	1	1	1.7	1
-1.76719091473653	-1.74035665081511	1	1	1.7	1
-1.74035665081511	-1.3787042477478	0	0	1.7	1
-1.3787042477478	2.27540865447966	0	0	1.7	1
2.27540865447966	3.75790907692382	1	1	1.7	1
-4.33972583017274	-2.69048027447124	1	1	11.8	1
-2.69048027447124	-2.57728572949625	1	1	11.8	1
-2.57728572949625	-2.57634389212915	1	1	11.8	1
-2.57634389212915	-2.57117788990798	1	1	11.8	1
-2.57117788990798	-2.5087976256396	1	1	11.8	1
-2.5087976256396	-2.40040964768051	1	1	11.8	1
-2.40040964768051	-2.15829260886333	1	1	11.8	1
-2.15829260886333	-1.79626447583382	1	1	11.8	1
-1.79626447583382	-1.63102286719642	1	1	11.8	1
-1.63102286719642	-1.49989832951391	1	1	11.8	1
-1.49989832951391	-1.24912774231116	1	1	11.8	1
-1.24912774231116	-0.501370707911299	1	1	11.8	1
-0.501370707911299	0.30292383590694	1	1	11.8	1
0.30292383590694	3.75790907692382	0	0	11.8	1
-4.33972583017274	-3.73178442501104	1	1	10.9	1
-3.73178442501104	-3.59756816833005	1	1	10.9	1
-3.59756816833005	-3.53803555792348	1	1	10.9	1
-3.53803555792348	-3.53127451660876	1	1	10.9	1
-3.53127451660876	-3.48128654103604	1	1	10.9	1
-3.48128654103604	-3.3697093478299	1	1	10.9	1
-3.3697093478299	-3.32875630100545	1	1	10.9	1
-3.32875630100545	-3.2984816276266	1	1	10.9	1
-3.2984816276266	-3.22175029534011	1	1	10.9	1
-3.22175029534011	-3.21264767989011	1	1	10.9	1
-3.21264767989011	-2.76265203684424	1	1	10.9	1
-2.76265203684424	-2.54965344971884	1	1	10.9	1
-2.54965344971884	3.75790907692382	0	0	10.9	1
