group	xintercept
1	2.7791455
1	42.2474885
1	66.7932835
1	42.2474885
1	66.3251155
1	66.7932835
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	2.7791455
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	2.7791455
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	105.5272305
1	33.2549545
1	34.4591305
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	105.5272305
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	105.5272305
1	2.7791455
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	105.5272305
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	105.5272305
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	22.8102895
1	24.2058575
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	22.8102895
1	24.2058575
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	105.5272305
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	89.0318915
1	90.3878815
1	91.1396925
1	105.5272305
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	22.8102895
1	24.2058575
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	89.0318915
1	90.3878815
1	91.1396925
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	22.8102895
1	24.2058575
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.7932835
1	89.0318915
1	90.3878815
1	91.1396925
1	105.5272305
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	22.8102895
1	24.2058575
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.3251155
1	66.7932835
1	89.0318915
1	90.3878815
1	91.1396925
1	105.5272305
1	125.8008965
1	127.2988755
1	130.6852725
1	2.7791455
1	22.8102895
1	24.2058575
1	33.2549545
1	34.4591305
1	39.2336175
1	42.2474885
1	65.2327755
1	65.8962095
1	66.3251155
1	66.7932835
1	89.0318915
1	90.3878815
1	91.1396925
1	97.1436505
1	98.1747685
1	125.8008965
1	127.2988755
1	130.6852725
