xmin	xmax	clickSelects	showSelected1	PANEL
-4.33972583017274	-3.56663440106019	20	4.2	1
-3.56663440106019	-3.30115430325331	19	4.2	1
-3.30115430325331	-3.25818648236058	16	4.2	1
-3.25818648236058	-3.0009183343543	15	4.2	1
-3.0009183343543	-2.8815686260577	14	4.2	1
-2.8815686260577	-2.86800744537142	13	4.2	1
-2.86800744537142	-2.84214141600921	11	4.2	1
-2.84214141600921	-2.83163579249532	9	4.2	1
-2.83163579249532	-2.70750117202076	8	4.2	1
-2.70750117202076	-2.26861906020816	7	4.2	1
-2.26861906020816	-1.36503598853577	5	4.2	1
-1.36503598853577	1.13643272732406	4	4.2	1
1.13643272732406	1.3880727789899	3	4.2	1
1.3880727789899	1.92930047961761	2	4.2	1
1.92930047961761	3.75790907692382	1	4.2	1
-4.33972583017274	-2.18653625590691	20	11.2	1
-2.18653625590691	-2.1241285982013	19	11.2	1
-2.1241285982013	-2.07808513430027	17	11.2	1
-2.07808513430027	-1.51896525388662	15	11.2	1
-1.51896525388662	-1.39164009689374	14	11.2	1
-1.39164009689374	-1.20090484481122	13	11.2	1
-1.20090484481122	-1.14257613408393	9	11.2	1
-1.14257613408393	-1.10944438930312	8	11.2	1
-1.10944438930312	-0.862198476006618	7	11.2	1
-0.862198476006618	-0.531082928688185	6	11.2	1
-0.531082928688185	-0.456570392651191	5	11.2	1
-0.456570392651191	0.0418331606939675	3	11.2	1
0.0418331606939675	0.261115261801065	2	11.2	1
0.261115261801065	3.75790907692382	1	11.2	1
-4.33972583017274	-3.20384107775527	20	4.3	1
-3.20384107775527	-3.06840998840936	19	4.3	1
-3.06840998840936	-3.04474014633749	18	4.3	1
-3.04474014633749	-2.78812513377508	17	4.3	1
-2.78812513377508	-2.7639401175084	15	4.3	1
-2.7639401175084	-2.70130248564482	13	4.3	1
-2.70130248564482	-2.6030487008235	11	4.3	1
-2.6030487008235	-2.52551293935828	9	4.3	1
-2.52551293935828	-2.45142745600641	7	4.3	1
-2.45142745600641	-2.44350391064387	6	4.3	1
-2.44350391064387	-2.02996478441467	3	4.3	1
-2.02996478441467	2.27284346410842	2	4.3	1
2.27284346410842	3.75790907692382	1	4.3	1
-4.33972583017274	-3.9716515162138	20	4.5	1
-3.9716515162138	-3.92471494915562	19	4.5	1
-3.92471494915562	-3.91338661357551	17	4.5	1
-3.91338661357551	-3.78301272895602	16	4.5	1
-3.78301272895602	-3.75543323162945	15	4.5	1
-3.75543323162945	-3.57944318229312	13	4.5	1
-3.57944318229312	-3.48987546097958	11	4.5	1
-3.48987546097958	-3.26212279428895	9	4.5	1
-3.26212279428895	-3.221094695346	8	4.5	1
-3.221094695346	-2.66669538877928	5	4.5	1
-2.66669538877928	-2.39787802507726	4	4.5	1
-2.39787802507726	-2.29088140629073	3	4.5	1
